Outputs,Tcasamiento,Tmutacion,Tmuerte,Pcasamiento,MediaOutput
12.4825,0.5,0.5,0.4,0.4,12.4370333333333
12.4138,0.5,0.5,0.4,0.4,
12.4148,0.5,0.5,0.4,0.4,
12.6373,0.7,0.5,0.4,0.4,12.6084
12.4369,0.7,0.5,0.4,0.4,
12.751,0.7,0.5,0.4,0.4,
12.8457,0.7,0.3,0.4,0.4,12.9447333333333
13.1643,0.7,0.3,0.4,0.4,
12.8242,0.7,0.3,0.4,0.4,
12.6392,0.7,0.4,0.4,0.4,12.8896333333333
12.9868,0.7,0.4,0.4,0.4,
13.0429,0.7,0.4,0.4,0.4,
13.2526,0.7,0.2,0.4,0.4,13.1024666666667
13.1656,0.7,0.2,0.4,0.4,
12.8892,0.7,0.2,0.4,0.4,
13.3984,0.7,0.1,0.4,0.4,13.4888
13.6048,0.7,0.1,0.4,0.4,
13.4632,0.7,0.1,0.4,0.4,
13.7231,0.7,0,0.4,0.4,13.821
14.0022,0.7,0,0.4,0.4,
13.7377,0.7,0,0.4,0.4,
13.924,0.7,0,0,0.4,13.8818
13.7676,0.7,0,0,0.4,
13.9538,0.7,0,0,0.4,
13.8925,0.7,0,0.2,0.4,13.7813666666667
13.7343,0.7,0,0.2,0.4,
13.7173,0.7,0,0.2,0.4,
13.8663,0.7,0,0.1,0.4,13.9282333333333
14.0087,0.7,0,0.1,0.4,
13.9097,0.7,0,0.1,0.4,
13.7362,0.7,0,0.1,0,13.8232
13.8179,0.7,0,0.1,0,
13.9155,0.7,0,0.1,0,
13.711,0.7,0,0.1,0.8,13.6818
13.6397,0.7,0,0.1,0.8,
13.6947,0.7,0,0.1,0.8,
13.6896,0.7,0,0.1,0.5,13.6950666666667
13.6389,0.7,0,0.1,0.5,
13.7567,0.7,0,0.1,0.5,
13.6679,0.7,0,0.1,0.3,13.7056333333333
13.6685,0.7,0,0.1,0.3,
13.7805,0.7,0,0.1,0.3,
